time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010445050000	11.1016	1.63875	5.0652	0.307647	0.251979	radar	2.54736	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.3855	1.66718	5.10309	0.284582	0.194856	lidar	2.43552	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6157	1.72321	5.03385	0.28763	0.186498	radar	0.748328	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8453	1.77917	5.00865	0.288665	0.173489	lidar	0.301226	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1028	1.87568	5.13244	0.306332	0.182803	radar	1.45952	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3497	1.88691	5.0993	0.27504	0.119093	lidar	0.811894	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6083	1.94413	5.18153	0.269206	0.0966433	radar	0.817079	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8065	2.09094	5.14803	0.327222	0.180115	lidar	3.12061	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0753	2.20578	5.2989	0.34625	0.188224	radar	2.89942	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.279	2.35338	5.26693	0.395613	0.25085	lidar	2.27018	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4489	2.52137	5.06898	0.467357	0.359814	radar	10.4465	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7011	2.62349	5.09961	0.472443	0.339336	lidar	0.974774	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9189	2.74296	5.07778	0.492954	0.346768	radar	0.115324	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1481	2.8918	5.11072	0.523877	0.367337	lidar	0.366574	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4015	3.0018	5.23449	0.514671	0.308921	radar	1.59317	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6126	3.05232	5.13943	0.489723	0.247725	lidar	2.5618	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.843	3.21739	5.24674	0.519943	0.26734	radar	3.41377	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0515	3.41506	5.28628	0.572894	0.328255	lidar	0.690575	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.2574	3.59623	5.24456	0.618798	0.385193	radar	2.39044	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.4728	3.77797	5.27935	0.651598	0.40566	lidar	0.304696	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.6836	3.91391	5.25188	0.657951	0.384949	radar	1.18804	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9099	4.04032	5.23647	0.653661	0.349206	lidar	0.397523	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1019	4.20726	5.1462	0.687784	0.39211	radar	1.57101	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.2988	4.39824	5.17845	0.719993	0.411049	lidar	0.198817	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.51	4.56327	5.21485	0.728091	0.385997	radar	0.740374	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.6893	4.72081	5.1772	0.742712	0.379182	lidar	0.509353	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8362	4.91776	5.01917	0.803895	0.479467	radar	3.46689	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	16.9964	5.14328	5.06551	0.851178	0.514342	lidar	0.333739	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.1681	5.30903	5.03388	0.862694	0.493836	radar	1.68543	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3266	5.48039	5.00043	0.87853	0.480979	lidar	0.197708	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.4847	5.64232	4.9366	0.891228	0.469972	radar	2.98117	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.6817	5.74672	4.84356	0.861465	0.391876	lidar	1.82778	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8263	5.93786	4.79704	0.894964	0.42619	radar	0.605296	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	17.9989	6.12949	4.82536	0.908614	0.414768	lidar	0.942575	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.151	6.33537	4.87116	0.929852	0.409705	radar	0.846218	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.268	6.585	4.93247	0.981935	0.456281	lidar	0.617234	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.4003	6.7993	4.93817	1.01002	0.466456	radar	0.209719	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5528	6.9199	4.81023	0.988904	0.402244	lidar	1.7648	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7065	7.12274	4.88018	0.989711	0.355482	radar	0.796622	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9112	7.24953	4.80555	0.94917	0.271099	lidar	3.59404	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	18.9994	7.4434	4.67637	0.996793	0.348872	radar	3.84455	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.0811	7.73075	4.79397	1.0658	0.424439	lidar	1.73026	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.206	7.93186	4.80533	1.07392	0.396838	radar	0.2997	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.2817	8.15558	4.80108	1.11268	0.423838	lidar	1.25378	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.384	8.362	4.8188	1.12179	0.389831	radar	2.18459	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.4826	8.50009	4.67637	1.11566	0.353709	lidar	3.16839	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5762	8.70202	4.63373	1.13877	0.371473	radar	0.466621	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7414	8.87434	4.60395	1.11458	0.311103	lidar	3.87173	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.8159	9.09109	4.55932	1.15494	0.366641	radar	1.05196	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9428	9.32921	4.63071	1.16623	0.357015	lidar	3.32604	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.9869	9.54897	4.55076	1.22406	0.446833	radar	2.32295	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0675	9.8018	4.62318	1.25525	0.459491	lidar	1.07438	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.1293	10.0547	4.71565	1.28015	0.4424	radar	7.46325	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.1697	10.3439	4.82433	1.33064	0.481522	lidar	1.0461	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.1813	10.5857	4.78786	1.39026	0.55664	radar	2.40769	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.235	10.8662	4.87688	1.42202	0.561124	lidar	2.12879	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.263	11.1305	4.94427	1.4469	0.536896	radar	4.9161	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.2983	11.3648	4.92384	1.4678	0.529247	lidar	0.0415936	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.2356	11.622	4.87537	1.56567	0.685465	radar	8.99412	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.3104	11.8519	4.84602	1.56255	0.636047	lidar	5.46293	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.3425	12.0858	4.88646	1.5444	0.502732	radar	4.46006	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3256	12.3805	4.99102	1.58448	0.520715	lidar	0.861067	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.2714	12.6215	4.93828	1.65475	0.62857	radar	2.57057	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.3013	12.8506	4.89279	1.6605	0.595467	lidar	2.24699	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.2919	13.0796	4.86102	1.68112	0.582181	radar	2.16539	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.2601	13.2835	4.7871	1.70851	0.580794	lidar	0.968431	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2234	13.5185	4.79972	1.72742	0.546125	radar	1.35907	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2027	13.7794	4.84138	1.74677	0.535316	lidar	1.43054	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.1478	14.0047	4.81057	1.78491	0.56646	radar	0.762447	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.0907	14.2633	4.86102	1.81462	0.567858	lidar	0.361617	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.019	14.4928	4.86014	1.8436	0.561055	radar	1.33719	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.906	14.754	4.94261	1.8901	0.584125	lidar	0.979979	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.8422	14.9702	4.9105	1.89771	0.525129	radar	3.40634	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8213	15.1788	4.82434	1.89954	0.495186	lidar	2.31678	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.6879	15.3836	4.76399	1.999	0.702638	radar	7.36338	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.6677	15.5567	4.6184	2.00289	0.664109	lidar	3.58294	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.5823	15.7551	4.59312	2.02161	0.626119	radar	1.39805	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.4735	15.9733	4.62326	2.05378	0.626769	lidar	0.0807817	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.378	16.1785	4.62451	2.05743	0.545855	radar	1.93464	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.2697	16.3555	4.57385	2.08695	0.549509	lidar	0.446975	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.156	16.5475	4.56133	2.11683	0.557961	radar	0.235024	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	19.0184	16.7683	4.62957	2.1469	0.559764	lidar	0.329642	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8597	16.9595	4.64995	2.22327	0.699027	radar	6.23479	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.6694	17.211	4.82545	2.26303	0.702314	lidar	2.09277	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.5757	17.4147	4.77554	2.21901	0.491813	radar	6.21314	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3535	17.6188	4.89326	2.26689	0.517567	lidar	3.79827	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.2151	17.8129	4.8836	2.26083	0.427483	radar	1.67785	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0913	17.9978	4.8388	2.2714	0.415259	lidar	0.89621	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.9149	18.1471	4.80159	2.32849	0.511074	radar	2.60354	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.7954	18.2812	4.67594	2.34744	0.504273	lidar	1.01029	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6661	18.4579	4.64439	2.35308	0.469491	radar	6.3831	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4639	18.6507	4.74346	2.38047	0.473197	lidar	0.606769	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.2846	18.7875	4.715	2.42403	0.524585	radar	1.93064	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.128	18.9212	4.65268	2.44846	0.523104	lidar	0.235277	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.961	19.0915	4.66692	2.45899	0.49273	radar	2.9446	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.7409	19.2105	4.68522	2.50159	0.514693	lidar	2.82329	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.5481	19.3653	4.71915	2.5291	0.530137	radar	3.26923	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.312	19.5361	4.83753	2.55482	0.526879	lidar	0.842951	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.0905	19.616	4.80386	2.61418	0.595121	radar	10.0779	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.8813	19.7615	4.84085	2.63501	0.583439	lidar	0.742283	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.6963	19.886	4.78207	2.62811	0.480384	radar	3.24674	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4572	20.0472	4.89047	2.64267	0.466091	lidar	1.16499	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2377	20.1945	4.9354	2.65194	0.440356	radar	5.44638	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.0573	20.3224	4.8864	2.66159	0.426386	lidar	1.84544	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8252	20.4033	4.88451	2.70676	0.480092	radar	2.32261	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6114	20.5217	4.88965	2.72282	0.470432	lidar	0.564141	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.37	20.6104	4.92506	2.76586	0.525564	radar	1.24709	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1243	20.6818	4.9367	2.80041	0.535418	lidar	0.701493	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.8848	20.7549	4.95217	2.83896	0.569501	radar	0.232013	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.6057	20.8182	5.02302	2.87575	0.578001	lidar	1.5032	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.3568	20.8495	5.03299	2.93617	0.661131	radar	1.77527	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.1146	20.8826	5.01172	2.97425	0.667945	lidar	0.160517	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.8846	20.9434	4.9803	2.98851	0.624949	radar	2.03663	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.6986	20.9761	4.86309	3.01657	0.625631	lidar	2.11832	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.4438	21.02	4.8984	3.03973	0.609969	radar	2.56417	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.1962	21.0555	4.91518	3.06449	0.602005	lidar	0.16903	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.9606	21.0749	4.90325	3.09461	0.607026	radar	0.907343	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.7236	21.0398	4.86369	3.14321	0.631767	lidar	1.7561	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.4801	21.0258	4.85255	3.17622	0.627207	radar	1.04587	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.2706	21.0152	4.78877	3.20791	0.630193	lidar	0.643847	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	11.0189	20.9761	4.80252	3.24572	0.633348	radar	4.07143	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.8153	20.9344	4.72945	3.28539	0.646831	lidar	0.371637	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.5669	20.9364	4.69716	3.27561	0.538616	radar	5.73031	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.2652	20.9779	4.85199	3.26159	0.47782	lidar	3.64304	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.026	20.9585	4.85521	3.28109	0.474398	radar	0.995287	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.84622	20.917	4.73534	3.31364	0.489836	lidar	1.56093	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.61216	20.9091	4.68789	3.30284	0.402295	radar	1.51518	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.42996	20.8582	4.59044	3.33408	0.419642	lidar	0.771011	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.21529	20.8115	4.59334	3.36449	0.449136	radar	1.55883	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.89641	20.794	4.78467	3.35738	0.405272	lidar	2.55829	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.68892	20.709	4.75512	3.40387	0.457772	radar	4.61306	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.39691	20.6318	4.88182	3.42281	0.449206	lidar	2.89894	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.16643	20.5507	4.89602	3.4571	0.478337	radar	0.179269	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.92075	20.4718	4.92409	3.4788	0.474614	lidar	0.0972639	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.70501	20.384	4.93707	3.52011	0.526542	radar	3.4895	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.37192	20.3318	5.13473	3.50729	0.468954	lidar	2.79984	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.13149	20.2382	5.12669	3.52623	0.454676	radar	0.222222	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.86526	20.1544	5.18128	3.53638	0.436584	lidar	0.241281	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.6331	20.0653	5.15259	3.5498	0.416483	radar	0.516872	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.39126	19.9715	5.1623	3.56484	0.408698	lidar	0.0992233	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.1713	19.8786	5.13554	3.58412	0.41188	radar	2.9627	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	5.90923	19.784	5.18944	3.59036	0.391593	lidar	0.301661	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.6715	19.6379	5.26155	3.636	0.457663	radar	1.76627	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.52324	19.5066	5.10806	3.68121	0.491392	lidar	2.05525	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.32441	19.357	5.08601	3.71825	0.511655	radar	1.81223	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.11914	19.2527	5.05567	3.73161	0.496297	lidar	1.98673	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	4.93664	19.1412	4.9366	3.74	0.449968	radar	4.77519	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
1477010452400000	4.79091	18.9877	4.8428	3.78479	0.484141	lidar	0.706795	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305
1477010452450000	4.58122	18.8368	4.91331	3.8118	0.501994	radar	1.50898	3.98679	19.0452	4.63297	18.8689	-4.04263	-2.96359
1477010452500000	4.40955	18.7045	4.86543	3.83502	0.501198	lidar	1.07518	4.4685	18.834	4.43224	18.7188	-3.99012	-3.0422
1477010452550000	4.2374	18.562	4.77901	3.84881	0.465306	radar	1.24876	4.69245	18.4634	4.23416	18.5648	-3.93685	-3.11888
1477010452600000	4.12718	18.4068	4.66128	3.8972	0.505427	lidar	1.48387	4.26269	18.481	4.03876	18.4071	-3.88293	-3.19362
1477010452650000	3.94281	18.2315	4.83406	3.9429	0.577792	radar	7.02411	3.42434	18.8357	3.84606	18.2457	-3.82841	-3.26644
